short name,full name,faculty
BW,Betriebswirtschaft,WR
BW KMU,Betriebswirtschaft für KMU,WR
BWR,Betriebswirtschaft und Recht,WR
DIM,Digitales Immobilienmanagement,WR
IIM,Internationales Immobilienmanagement,WR
WiPsy,Wirtschaftspsychologie,WR
Master ImmoM,Immobilienmanagement (Master),WR
Master IntM,International Management (Master),WR
Master WR,Wirtschaft und Recht (Master),WR
EIT,Elektro- und Informationstechnik,IW
EIT (berufsb),Elektro- und Informationstechnik (berufsbegl.),IW
E3,Erneuerbare Energien und Energiemanagement,IW
ITV,Internationales Technisches Vertriebsmanagement,IW
MKD,Multimediale Kommunikation und Dokumentation,IW
M,Mechatronik,IW
MEDS,Medical Engineering and Data Science,IW
MOMAT,Modern Materials,IW
SD,Software Design,IW
SDI,Software Design International,IW
WI,Wirtschaftsingenieurwesen,IW
WI (berufsb),Wirtschaftsingenieurwesen (berufsbegl.),IW
WIMAT,Wirtschaftsingenieurwesen/Materialtechnologien,IW
Master AF,Angewandte Forschung in den Ingenieurswissenschaften,IW
Master EIT,Elektro- und Informationstechnik (Master),IW
Master WI,Wirtschaftsingenieurwesen (Master),IW
HEB,Hebammenkunde,GS
IGV,Interdisziplinäre Gesundheitsversorgung,GS
PA,Physician Assistant,GS
